id;numero;data_ajuizamento;id_classe;id_assunto;ano_eleicao
405289080,"00000090320156070011",2015-05-12 14:09:58.000,{11548},"{11700,11701}",0
405287812,"06000824620216070000",2021-07-01 16:33:15.000,{12377},{11778},2020
638634417,"06000138220196070000",2019-01-16 00:00:00.000,"{241,11533}",{11778},2018
405286187,"06017866020226070000",2022-09-12 00:00:00.000,{11532},{11778},2022
405288169,"06002808820186070000",2018-07-10 13:51:02.000,{1338},{11778},0
405286852,"06026430920226070000",2022-10-03 20:17:05.000,{12561},{11778},0
405289004,"06023897520186070000",2018-09-13 23:55:10.000,{11531},{11778},2018
405287942,"06028123520186070000",2018-09-17 00:00:00.000,"{11531,156}",{11778},2018
405287084,"06017883020226070000",2022-09-12 00:00:00.000,{12561},{11778},0
405277200,"00006985620166070999",2016-10-26 12:55:10.000,{12559},{11778},0
405277185,"00000458220196070018",2019-06-12 17:20:47.000,{11528},"{11778,11475}",0